id,name,team,role,qi,qa,fvm
D-BOL-Zortea,Zortea,BOL,D,6,7,19
C-BOL-Ferguson,Ferguson,BOL,C,7,7,23
D-CAG-Mina,Mina,CAG,D,8,7,20
D-CAG-Obert,Obert,CAG,D,7,7,15
C-CAG-Adopo,Adopo,CAG,C,6,7,13
C-CAG-Romano,Romano,CAG,C,5,7,21
D-FIO-Dragusin,Dragusin,FIO,D,8,7,20
D-FIO-Jimenez_A.,Jimenez A.,FIO,D,8,7,18
C-FIO-Fagioli,Fagioli,FIO,C,8,7,20
C-FIO-Ndour,Ndour,FIO,C,8,7,22
D-FRO-Bracaglia,Bracaglia,FRO,D,5,7,15
C-GEN-Frendrup,Frendrup,GEN,C,7,7,19
A-INT-Bonny,Bonny,INT,A,7,7,15
C-JUV-Koopmeiners,Koopmeiners,JUV,C,5,7,15
A-JUV-Boga,Boga,JUV,A,6,7,27
D-LAZ-Tavares_N.,Tavares N.,LAZ,D,6,7,25
C-LAZ-Rovella,Rovella,LAZ,C,6,7,16
C-LEC-Coulibaly_L.,Coulibaly L.,LEC,C,6,7,17
D-MIL-Gabbia,Gabbia,MIL,D,7,7,15
D-MON-Mangas,Mangas,MON,D,6,7,15
C-MON-Akinsanmiro,Akinsanmiro,MON,C,6,7,11
A-MON-Varela_G.,Varela G.,MON,A,3,7,40
P-PAR-Suzuki,Suzuki,PAR,P,7,7,20
C-PAR-Bernabè,Bernabè,PAR,C,7,7,34
C-ROM-Pisilli,Pisilli,ROM,C,5,7,19
P-SAS-Muric,Muric,SAS,P,7,7,15
D-SAS-Idzes,Idzes,SAS,D,7,7,19
D-TOR-Coco,Coco,TOR,D,7,7,14
D-TOR-Ismajli,Ismajli,TOR,D,7,7,13
C-UDI-Karlstrom,Karlstrom,UDI,C,6,7,20
C-UDI-Unai_Gomez,Unai Gomez,UDI,C,7,7,16
A-VEN-Rrahmani_Al.,Rrahmani Al.,VEN,A,8,7,13
C-GEN-Sow,Sow,GEN,C,7,7,15
C-ATA-Elmas,Elmas,ATA,C,7,7,22
D-NAP-Badiashile,Badiashile,NAP,D,7,7,18
D-LAZ-Sutalo_J.,Sutalo J.,LAZ,D,7,7,19
C-LEC-Monteiro_J.,Monteiro J.,LEC,C,7,7,23
D-TOR-Belghali,Belghali,TOR,D,7,7,20
C-JUV-Sarr_P.,Sarr P.,JUV,C,7,7,25
A-FIO-Gnonto,Gnonto,FIO,A,7,7,25
C-GEN-El_Shaarawy,El Shaarawy,GEN,C,7,7,25
D-ATA-Kolasinac,Kolasinac,ATA,D,5,6,8
D-ATA-Ahanor,Ahanor,ATA,D,6,6,13
D-ATA-Bellanova,Bellanova,ATA,D,6,6,17
D-ATA-Bernasconi,Bernasconi,ATA,D,6,6,18
A-ATA-Sulemana_K.,Sulemana K.,ATA,A,6,6,8
D-BOL-Heggem,Heggem,BOL,D,6,6,15
D-BOL-Holm,Holm,BOL,D,5,6,13
C-BOL-Pobega,Pobega,BOL,C,6,6,12
C-CAG-Winks,Winks,CAG,C,6,6,15
C-CAG-Fazzini,Fazzini,CAG,C,7,6,23
A-CAG-Mutandwa,Mutandwa,CAG,A,6,6,7
D-COM-Kaiki,Kaiki,COM,D,7,6,13
D-COM-Valle,Valle,COM,D,6,6,21
C-COM-Milla,Milla,COM,C,5,6,30
C-COM-Caqueret,Caqueret,COM,C,6,6,17
C-COM-Liberali,Liberali,COM,C,6,6,21
D-FIO-Viery,Viery,FIO,D,6,6,12
C-FIO-Oulai,Oulai,FIO,C,6,6,18
D-FRO-Monterisi,Monterisi,FRO,D,6,6,13
D-FRO-Oyono_A.,Oyono A.,FRO,D,5,6,10
C-FRO-Zerbin,Zerbin,FRO,C,5,6,12
A-FRO-Kvernadze,Kvernadze,FRO,A,4,6,24
D-GEN-Marcandalli,Marcandalli,GEN,D,6,6,14
C-GEN-Ellertsson,Ellertsson,GEN,C,6,6,16
D-INT-Pavard,Pavard,INT,D,6,6,14
D-INT-Carlos_Augusto,Carlos Augusto,INT,D,7,6,20
P-JUV-Perin,Perin,JUV,P,6,6,5
C-JUV-Zhegrova,Zhegrova,JUV,C,6,6,17
D-LAZ-Romagnoli,Romagnoli,LAZ,D,7,6,20
D-LAZ-Pedraza,Pedraza,LAZ,D,5,6,14
D-LAZ-Marusic,Marusic,LAZ,D,6,6,20
A-LAZ-Noslin,Noslin,LAZ,A,6,6,8
D-LEC-Veiga_D.,Veiga D.,LEC,D,5,6,12
D-LEC-Gallo,Gallo,LEC,D,6,6,12
C-LEC-Pierotti,Pierotti,LEC,C,6,6,19
A-LEC-Stulic,Stulic,LEC,A,7,6,11
D-MIL-Tomori,Tomori,MIL,D,7,6,8
A-MIL-Gimenez,Gimenez,MIL,A,6,6,10
C-MON-Pessina,Pessina,MON,C,7,6,15
D-NAP-Beukema,Beukema,NAP,D,6,6,12
D-NAP-Buongiorno,Buongiorno,NAP,D,7,6,15
A-NAP-Neres,Neres,NAP,A,6,6,20
P-PAR-Daffara,Daffara,PAR,P,7,6,7
D-PAR-Circati,Circati,PAR,D,6,6,18
C-PAR-Nicolussi_Caviglia,Nicolussi Caviglia,PAR,C,6,6,16
C-SAS-Matic,Matic,SAS,C,5,6,15
C-SAS-Adzic,Adzic,SAS,C,5,6,16
C-SAS-Bakola,Bakola,SAS,C,5,6,14
C-TOR-Cacciamani,Cacciamani,TOR,C,5,6,24
C-TOR-Oristanio,Oristanio,TOR,C,7,6,12
A-TOR-Zapata_D.,Zapata D.,TOR,A,7,6,12
D-ATA-Kristensen_T.,Kristensen T.,ATA,D,7,6,20
C-UDI-Piotrowski,Piotrowski,UDI,C,5,6,15
P-VEN-Stankovic_F.,Stankovic F.,VEN,P,6,6,11
C-VEN-Basic,Basic,VEN,C,6,6,19
D-SAS-Obrador,Obrador,SAS,D,6,6,13
C-MON-Tourè_I.,Tourè I.,MON,C,6,6,14
D-TOR-Fortini,Fortini,TOR,D,5,6,12
D-SAS-Leysen_F.,Leysen F.,SAS,D,5,6,12
D-ROM-Balerdi,Balerdi,ROM,D,6,6,11
D-SAS-Caleta-Car,Caleta-Car,SAS,D,6,6,15
A-MON-Zeballos,Zeballos,MON,A,6,6,18
D-CAG-Sugawara,Sugawara,CAG,D,6,6,15
C-TOR-Braganca,Braganca,TOR,C,6,6,20
A-CAG-Maldini,Maldini,CAG,A,5,5,21
C-BOL-Amondarain,Amondarain,BOL,C,5,5,10
D-CAG-Kofler,Kofler,CAG,D,5,5,8
D-CAG-Zè_Pedro,Zè Pedro,CAG,D,5,5,13
C-CAG-Felici,Felici,CAG,C,5,5,7
D-COM-Kempf,Kempf,COM,D,5,5,13
D-FIO-Valdepenas,Valdepenas,FIO,D,6,5,16
P-FRO-Palmisani,Palmisani,FRO,P,4,5,12
D-FRO-Calvani,Calvani,FRO,D,4,5,13
C-GEN-Meichtry,Meichtry,GEN,C,5,5,11
C-INT-Luis_Henrique,Luis Henrique,INT,C,4,5,12
D-JUV-Kelly_L.,Kelly L.,JUV,D,5,5,12
C-LAZ-Dele-Bashiru,Dele-Bashiru,LAZ,C,5,5,13
D-LEC-Gaspar_K.,Gaspar K.,LEC,D,5,5,12
D-MIL-De_Winter,De Winter,MIL,D,3,5,20
C-MIL-Jashari,Jashari,MIL,C,4,5,13
P-NAP-Milinkovic-Savic_V.,Milinkovic-Savic V.,NAP,P,5,5,5
D-NAP-Olivera,Olivera,NAP,D,5,5,13
C-PAR-Keita_M.,Keita M.,PAR,C,5,5,15
C-PAR-Ondrejka,Ondrejka,PAR,C,5,5,18
D-ROM-Ghilardi,Ghilardi,ROM,D,4,5,10
D-SAS-Doig,Doig,SAS,D,4,5,10
D-TOR-Pedersen,Pedersen,TOR,D,5,5,12
C-TOR-Fitz-Jim,Fitz-Jim,TOR,C,4,5,18
C-TOR-Gineitis,Gineitis,TOR,C,5,5,12
D-VEN-Bella-Kotchap,Bella-Kotchap,VEN,D,6,5,13
D-VEN-Correia_T.,Correia T.,VEN,D,4,5,12
D-VEN-Haps,Haps,VEN,D,5,5,10
C-VEN-Busio,Busio,VEN,C,5,5,14
C-VEN-Sohm,Sohm,VEN,C,5,5,11
C-VEN-Perez_K.,Perez K.,VEN,C,5,5,15
C-MIL-Cissè_A.,Cissè A.,MIL,C,3,5,24
A-FRO-Birligea,Birligea,FRO,A,5,5,11
A-MON-Ngonge,Ngonge,MON,A,5,5,13
D-TOR-Patterson,Patterson,TOR,D,5,5,12
D-TOR-Rodriguez_R.,Rodriguez R.,TOR,D,5,5,12
D-ATA-Kossounou,Kossounou,ATA,D,3,4,12
C-ROM-De_Roon,De Roon,ROM,C,4,4,10
D-BOL-Vitik,Vitik,BOL,D,5,4,10
C-BOL-Moro_N.,Moro N.,BOL,C,4,4,14
C-SAS-Dominguez_B.,Dominguez B.,SAS,C,3,4,12
D-CAG-Rodriguez_Ju.,Rodriguez Ju.,CAG,D,3,4,14
D-CAG-Zappa,Zappa,CAG,D,4,4,7
C-CAG-Prati,Prati,CAG,C,4,4,7
A-CAG-Borrelli,Borrelli,CAG,A,4,4,9
A-CAG-Mendy_P.,Mendy P.,CAG,A,4,4,12
D-COM-Smolcic_I.,Smolcic I.,COM,D,4,4,10
C-COM-Addai,Addai,COM,C,5,4,10
A-COM-Morata,Morata,COM,A,4,4,7
D-FIO-Pongracic,Pongracic,FIO,D,4,4,8
D-FIO-Parisi,Parisi,FIO,D,5,4,10
C-PAR-Fabbian,Fabbian,PAR,C,4,4,8
D-FRO-Cittadini,Cittadini,FRO,D,3,4,8
C-FRO-Cichella,Cichella,FRO,C,4,4,12
C-FRO-Koutsoupias,Koutsoupias,FRO,C,4,4,11
C-FRO-Fini,Fini,FRO,C,3,4,13
D-GEN-Martin,Martin,GEN,D,5,4,8
D-GEN-Mitaj,Mitaj,GEN,D,4,4,10
C-GEN-Amorim,Amorim,GEN,C,4,4,11
C-GEN-Messias,Messias,GEN,C,3,4,8
C-GEN-Traorè_Hj.,Traorè Hj.,GEN,C,5,4,11
A-GEN-Havel,Havel,GEN,A,4,4,5
C-INT-Mkhitaryan,Mkhitaryan,INT,C,5,4,9
D-JUV-Gatti,Gatti,JUV,D,4,4,10
C-JUV-Douglas_Luiz,Douglas Luiz,JUV,C,4,4,15
D-LAZ-Provstgaard,Provstgaard,LAZ,D,3,4,13
D-LAZ-Floriani_Mussolini,Floriani Mussolini,LAZ,D,3,4,10
C-LAZ-Cataldi,Cataldi,LAZ,C,4,4,12
D-LEC-Siebert,Siebert,LEC,D,4,4,12
C-LEC-Ngom,Ngom,LEC,C,4,4,12
C-LEC-Berisha_M.,Berisha M.,LEC,C,5,4,12
C-LEC-Gandelman,Gandelman,LEC,C,5,4,10
A-LEC-N'Dri,N'Dri,LEC,A,3,4,12
C-MIL-Fofana_Y.,Fofana Y.,MIL,C,5,4,10
C-COM-Ricci_S.,Ricci S.,COM,C,4,4,12
C-MIL-Loftus-Cheek,Loftus-Cheek,MIL,C,4,4,16
A-MIL-Camarda,Camarda,MIL,A,5,4,20
P-MON-Thiam,Thiam,MON,P,5,4,5
D-MON-Delli_Carri,Delli Carri,MON,D,4,4,11
D-MON-Birindelli,Birindelli,MON,D,4,4,12
A-MON-Mota,Mota,MON,A,5,4,8
C-MON-Folorunsho,Folorunsho,MON,C,4,4,17
A-NAP-Giovane,Giovane,NAP,A,4,4,7
A-NAP-Lang,Lang,NAP,A,3,4,14
A-NAP-Lucca,Lucca,NAP,A,3,4,12
D-PAR-Valenti,Valenti,PAR,D,4,4,10
C-PAR-Almqvist,Almqvist,PAR,C,4,4,11
A-PAR-Frigan,Frigan,PAR,A,5,4,6
D-ROM-Rensch,Rensch,ROM,D,5,4,14
C-ROM-El_Aynaoui,El Aynaoui,ROM,C,4,4,13
D-SAS-Walukiewicz,Walukiewicz,SAS,D,4,4,10
D-TOR-Comert,Comert,TOR,D,4,4,12
C-TOR-Ilkhan,Ilkhan,TOR,C,4,4,8
C-FIO-Njie,Njie,FIO,C,4,4,28
A-TOR-Kulenovic,Kulenovic,TOR,A,4,4,9
D-UDI-Kabasele,Kabasele,UDI,D,4,4,12
D-UDI-Bertola,Bertola,UDI,D,4,4,10
D-UDI-Zanoli,Zanoli,UDI,D,4,4,10
D-UDI-Arizala,Arizala,UDI,D,4,4,8
C-UDI-Miller_L.,Miller L.,UDI,C,3,4,12
A-UDI-Gueye,Gueye,UDI,A,4,4,7
D-VEN-Moreno_M.,Moreno M.,VEN,D,5,4,6
D-VEN-Hainaut,Hainaut,VEN,D,3,4,12
A-VEN-Adorante,Adorante,VEN,A,5,4,8
A-MON-Robinson_J.,Robinson J.,MON,A,4,4,5
C-FRO-Grillitsch,Grillitsch,FRO,C,5,4,10
D-FRO-Terzic,Terzic,FRO,D,4,4,8
A-JUV-Milik,Milik,JUV,A,5,4,10
D-NAP-Favasuli,Favasuli,NAP,D,4,4,11
A-LEC-Fatah,Fatah,LEC,A,4,4,14
C-CAG-Massolin,Massolin,CAG,C,4,4,12
D-VEN-Juan_Jesus,Juan Jesus,VEN,D,4,4,10
A-CAG-Nzola,Nzola,CAG,A,4,4,10
D-GEN-Ehizibue,Ehizibue,GEN,D,4,4,10
C-SAS-Sulemana_I.,Sulemana I.,SAS,C,3,3,7
D-BOL-Casale,Casale,BOL,D,3,3,5
D-BOL-Helland,Helland,BOL,D,2,3,12
D-CAG-Idrissi_R.,Idrissi R.,CAG,D,3,3,3
C-CAG-Deiola,Deiola,CAG,C,3,3,8
A-COM-Kuhn,Kuhn,COM,A,3,3,5
D-FIO-Ranieri_L.,Ranieri L.,FIO,D,3,3,10
D-FIO-Joao_Mario,Joao Mario,FIO,D,3,3,12
C-FIO-Brescianini,Brescianini,FIO,C,3,3,11
D-FRO-Akpoguma,Akpoguma,FRO,D,3,3,6
C-FRO-Gelli_F.,Gelli F.,FRO,C,3,3,6
C-FRO-Masini,Masini,FRO,C,2,3,8
C-INT-Stankovic_A.,Stankovic A.,INT,C,3,3,7
C-JUV-Miretti,Miretti,JUV,C,3,3,7
A-JUV-Ekhator,Ekhator,JUV,A,3,3,10
C-LEC-Gorter,Gorter,LEC,C,1,3,12
C-LEC-Maleh,Maleh,LEC,C,2,3,7
D-MIL-Athekame,Athekame,MIL,D,3,3,8
D-MIL-Estupinan,Estupinan,MIL,D,3,3,13
C-MIL-Musah,Musah,MIL,C,2,3,15
D-MON-Lucchesi,Lucchesi,MON,D,4,3,11
D-MON-Kouadio,Kouadio,MON,D,3,3,14
D-MON-Carboni_A.,Carboni A.,MON,D,3,3,9
C-MON-Colombo_L.,Colombo L.,MON,C,3,3,4
C-NAP-Gilmour,Gilmour,NAP,C,3,3,10
D-PAR-Troilo,Troilo,PAR,D,3,3,14
D-PAR-Britschgi,Britschgi,PAR,D,3,3,10
C-PAR-Ordonez_C.,Ordonez C.,PAR,C,2,3,10
C-PAR-Sorensen_O.,Sorensen O.,PAR,C,3,3,12
C-PAR-Diallo_O.,Diallo O.,PAR,C,3,3,12
A-PAR-Elphege,Elphege,PAR,A,3,3,11
D-ROM-Angelino,Angelino,ROM,D,3,3,12
D-SAS-Candè,Candè,SAS,D,3,3,7
C-TOR-Aboukhlal,Aboukhlal,TOR,C,3,3,5
D-UDI-Palma,Palma,UDI,D,2,3,11
D-UDI-Ebosse,Ebosse,UDI,D,2,3,5
D-VEN-Halhal,Halhal,VEN,D,4,3,10
D-VEN-Schingtienne,Schingtienne,VEN,D,3,3,10
D-VEN-Sverko,Sverko,VEN,D,3,3,7
D-VEN-Franjic,Franjic,VEN,D,2,3,7
C-VEN-Helgason,Helgason,VEN,C,3,3,3
A-PAR-Lontani,Lontani,PAR,A,1,3,11
D-SAS-Odenthal,Odenthal,SAS,D,1,3,8
D-FRO-Tchato,Tchato,FRO,D,3,3,8
D-COM-Kambwala,Kambwala,COM,D,3,3,8
C-CAG-Gagliardini,Gagliardini,CAG,C,3,3,8
D-GEN-Drameh,Drameh,GEN,D,3,3,10
C-VEN-Fernandez_T.,Fernandez T.,VEN,C,3,3,8
D-BOL-Alhassane,Alhassane,BOL,D,2,2,6
C-BOL-El_Azzouzi_O.,El Azzouzi O.,BOL,C,2,2,10
D-SAS-Van_Der_Brempt,Van Der Brempt,SAS,D,2,2,11
C-CAG-Fadera,Fadera,CAG,C,2,2,12
P-FRO-Desplanches,Desplanches,FRO,P,2,2,1
C-FRO-Hasa,Hasa,FRO,C,2,2,5
D-GEN-Otoa,Otoa,GEN,D,2,2,5
D-GEN-Puczka,Puczka,GEN,D,2,2,3
D-GEN-Sabelli,Sabelli,GEN,D,2,2,5
C-GEN-Venturino,Venturino,GEN,C,2,2,4
P-INT-Provedel,Provedel,INT,P,2,2,5
D-LAZ-Lazzari,Lazzari,LAZ,D,2,2,5
